stem,rank,x_letterbox,y_letterbox,x_original,y_original,score,mask_probability,log_scale_letterbox,basin_scale_letterbox,log_scale_original,basin_scale_original,fold
10004,0,197.0,167.0,683.8709677419355,714.5338541666666,0.8168253302574158,0.9999874830245972,1.0,9.643650760992955,4.276419111437356,41.240292418337674,0
10004,1,249.0,74.0,906.1290322580645,316.6197916666667,0.7976257801055908,0.9999707937240601,1.0,6.324555320336759,4.276419111437356,27.046449243230928,0
10004,2,167.0,175.0,555.6451612903226,748.7630208333334,0.7896743416786194,0.9999760389328003,1.0,8.602325267042627,4.276419111437356,36.78714817478155,0
10004,3,244.0,109.0,884.758064516129,466.3723958333333,0.7852796912193298,0.9999583959579468,1.0,7.211102550927978,4.276419111437356,30.837696763323077,0
10004,4,168.0,187.0,559.9193548387096,800.1067708333334,0.7790124416351318,0.9999607801437378,1.0,10.392304845413264,4.276419111437356,44.441851052808325,0
10004,5,232.0,168.0,833.4677419354839,718.8125,0.771340012550354,0.9999573230743408,1.0,9.591663046625438,4.276419111437356,41.01797116305648,0
10004,6,101.0,119.0,273.5483870967742,509.15885416666663,0.7510395646095276,0.9999358654022217,1.0,6.082762530298219,4.276419111437356,26.012441934902355,0
10004,7,195.0,180.0,675.3225806451612,770.15625,0.7494438886642456,0.9999706745147705,1.0,11.532562594670797,4.276419111437356,49.31807108369778,0
10004,8,159.0,113.0,521.4516129032259,483.4869791666667,0.7423978447914124,0.9999092817306519,1.0,7.3484692283495345,4.276419111437356,31.42513424792327,0
10004,9,228.0,180.0,816.3709677419355,770.15625,0.7379003167152405,0.9999163150787354,1.0,11.40175425099138,4.276419111437356,48.75867978285165,0
10004,10,207.0,294.0,726.6129032258065,1257.921875,0.7370370626449585,0.9999643564224243,1.0,17.320508075688775,4.276419111437356,74.06975175468054,0
10004,11,199.0,101.0,692.4193548387096,432.1432291666667,0.7275184392929077,0.9999504089355469,1.0,7.54983443527075,4.276419111437356,32.286256267179695,0
10004,12,151.0,74.0,487.258064516129,316.6197916666667,0.7231841683387756,0.9998968839645386,1.0,6.928203230275509,4.276419111437356,29.627900701872214,0
10004,13,115.0,145.0,333.38709677419354,620.4036458333334,0.7230464816093445,0.9999059438705444,1.0,6.48074069840786,4.276419111437356,27.714363378941254,0
10004,14,163.0,289.0,538.5483870967741,1236.5286458333333,0.7209514379501343,0.9999468326568604,1.0,16.30950643030009,4.276419111437356,69.74628499664576,0
10004,15,300.0,185.0,1124.1129032258063,791.5494791666666,0.7189860343933105,0.9998856782913208,1.0,8.717797887081348,4.276419111437356,37.28095749396288,0
10004,16,197.0,58.0,683.8709677419355,248.16145833333331,0.7060294151306152,0.9998905658721924,1.0,7.3484692283495345,4.276419111437356,31.42513424792327,0
