stem,rank,x_letterbox,y_letterbox,scale_letterbox,score,mask_probability,x_original,y_original,scale_original
10375,0,182.0,306.0,1.0,0.8906288743019104,1.0,449.90123456790127,905.25,2.95910483767122
10375,1,179.0,276.0,1.0,0.875977098941803,1.0,441.02160493827165,816.5,2.95910483767122
10375,2,221.0,270.0,1.0,0.857401430606842,1.0,565.3364197530865,798.75,2.95910483767122
10375,3,188.0,182.0,1.0,0.8491224646568298,1.0,467.6604938271605,538.4166666666666,2.95910483767122
10375,4,221.0,185.0,1.074722170829773,0.8389917612075806,1.0,565.3364197530865,547.2916666666666,3.1802155748548966
10375,5,154.0,284.0,1.0,0.8370065689086914,1.0,367.0246913580247,840.1666666666666,2.95910483767122
10375,6,137.0,200.0,1.0124962329864502,0.8315842747688293,1.0,316.7067901234568,591.6666666666666,2.9960825011540915
10375,7,161.0,271.0,1.1571369171142578,0.8251662850379944,1.0,387.7438271604939,801.7083333333334,3.424089449280762
10375,8,146.0,305.0,1.0057413578033447,0.8171491622924805,1.0,343.3456790123457,902.2916666666666,2.976094117321899
10375,9,133.0,190.0,1.258439064025879,0.8152151703834534,1.0,304.8672839506173,562.0833333333334,3.7238531222734204
10375,10,169.0,294.0,1.0,0.8143100142478943,1.0,411.42283950617286,869.75,2.95910483767122
10375,11,121.0,128.0,1.8581640720367432,0.8078982830047607,1.0,269.3487654320988,378.6666666666667,5.4985022947507805
10375,12,194.0,291.0,1.052785873413086,0.8066239356994629,1.0,485.4197530864198,860.875,3.115303771048583
10375,13,257.0,226.0,1.2135138511657715,0.8028554916381836,1.0,671.891975308642,668.5833333333334,3.5909147075656676
10375,14,162.0,192.0,2.062511444091797,0.8018860816955566,1.0,390.70370370370375,568.0,6.10318759196429
10375,15,159.0,127.0,1.751232624053955,0.7953176498413086,1.0,381.8240740740741,375.7083333333333,5.182080929725724
10375,16,158.0,93.0,2.5921695232391357,0.7845303416252136,1.0,378.8641975308642,275.125,7.670501376280827
10375,17,161.0,179.0,1.2374122142791748,0.7830691337585449,1.0,387.7438271604939,529.5416666666666,3.6616324694669626
10375,18,195.0,72.0,1.9508533477783203,0.7819341421127319,1.0,488.3796296296297,213.0,5.772779578997922
10375,19,234.0,120.0,1.7178881168365479,0.7748764157295227,1.0,603.8148148148149,355.0,5.083411037108931
10375,20,236.0,90.0,1.5568420886993408,0.7735916376113892,1.0,609.7345679012346,266.25,4.606858956160386
10375,21,195.0,110.0,3.014683723449707,0.7713164687156677,1.0,488.3796296296297,325.4166666666667,8.920765190108714
10375,22,279.0,195.0,2.1136598587036133,0.7702428102493286,1.0,737.0092592592594,576.875,6.25454111308133
10375,23,225.0,172.0,2.3787472248077393,0.767388105392456,1.0,577.175925925926,508.8333333333333,7.0389624205255705
10375,24,121.0,150.0,2.1767420768737793,0.7604082822799683,1.0,269.3487654320988,443.75,6.441208010039699
10375,25,191.0,169.0,2.6440017223358154,0.7585895657539368,1.0,476.5401234567902,499.9583333333333,7.823878287374949
10375,26,197.0,269.0,2.48091721534729,0.6471759676933289,1.0,494.2993827160494,795.7916666666666,7.341294133795978
10375,27,208.0,275.0,5.234525680541992,0.6230048537254333,0.9999996423721313,526.8580246913581,813.5416666666666,15.489510264206045
10375,28,138.0,212.0,23.51644515991211,0.19330677390098572,0.9960285425186157,319.6666666666667,627.1666666666666,69.58762663752587
10375,29,161.0,206.0,32.09364318847656,0.16645681858062744,0.9779926538467407,387.7438271604939,609.4166666666666,94.968454817515
10520,0,198.0,256.0,1.0,0.8747735619544983,1.0,557.2111111111111,1010.0,3.9485808221764
10520,1,194.0,149.0,1.0,0.8572032451629639,1.0,541.4037037037037,587.8515625,3.9485808221764
10520,2,171.0,158.0,1.0,0.8342801928520203,1.0,450.5111111111111,623.359375,3.9485808221764
10520,3,173.0,237.0,1.0,0.8324913382530212,1.0,458.41481481481486,935.0390625,3.9485808221764
